epoch,errors,w1,w2,w3,w4,b
1,51,-0.06263851,-0.0793464,-0.06353158,-0.0027874,-0.03
2,24,-0.07620143,-0.10232141,-0.06460141,-0.00030581,-0.03
3,23,-0.07800137,-0.09653703,-0.09136325,-0.00220732,-0.04
4,32,-0.08855197,-0.11267296,-0.09797166,-0.00557945,-0.06
5,26,-0.096734,-0.1214235,-0.10624506,-0.00609032,-0.06
6,20,-0.1096048,-0.13468495,-0.10400392,-0.00233011,-0.04
7,23,-0.1161203,-0.14283593,-0.1101345,-0.00416361,-0.05
8,20,-0.10586681,-0.14317078,-0.12465455,-0.00020881,-0.07
9,23,-0.12493671,-0.15326481,-0.11722008,0.00349083,-0.06
10,18,-0.11985815,-0.16083737,-0.12356053,0.00915496,-0.06
11,17,-0.12484552,-0.15614988,-0.13327684,0.00451369,-0.07
12,18,-0.12426562,-0.15484105,-0.14544607,0.00529585,-0.07
13,19,-0.1280254,-0.1594225,-0.14598996,-0.00870433,-0.08
14,14,-0.13790193,-0.17356932,-0.13998422,-0.00678538,-0.06
15,21,-0.14393743,-0.18194954,-0.1391044,-0.01161752,-0.07
16,19,-0.1360799,-0.17733262,-0.15945027,-0.00058364,-0.08
17,20,-0.14542771,-0.17783332,-0.16457742,-0.01957282,-0.06
18,17,-0.15027221,-0.17614011,-0.15956898,-0.00813281,-0.07
19,18,-0.15381833,-0.17693357,-0.16085798,-0.01070011,-0.07
20,18,-0.15669302,-0.17897922,-0.16102152,-0.01382773,-0.07
21,21,-0.14962611,-0.18324689,-0.16934592,-0.00583516,-0.08
22,14,-0.15739311,-0.18652666,-0.1578432,-0.00987405,-0.08
23,19,-0.16298445,-0.1955311,-0.15678047,-0.01533562,-0.07
24,18,-0.15169663,-0.19277285,-0.17581688,-0.01979961,-0.07
25,13,-0.15313088,-0.18912921,-0.17517171,-0.01453493,-0.08
26,19,-0.16645779,-0.1983594,-0.16526304,-0.01082934,-0.07
27,17,-0.15920718,-0.19380589,-0.17568517,-0.02489113,-0.08
28,12,-0.16083109,-0.1922291,-0.17652654,-0.01606855,-0.08
29,19,-0.1575045,-0.19689521,-0.1771939,-0.01543355,-0.09
30,22,-0.16305468,-0.19525866,-0.17721586,-0.02122101,-0.09
31,21,-0.16620543,-0.20970546,-0.17433127,-0.01063197,-0.08
32,16,-0.17475453,-0.20296503,-0.17931904,-0.0223482,-0.08
33,20,-0.18376848,-0.21010022,-0.1755285,-0.0072267,-0.08
34,20,-0.17241208,-0.21854393,-0.18533702,-0.0221754,-0.08
35,17,-0.17776859,-0.20899614,-0.18842869,-0.02980904,-0.09
36,20,-0.18729984,-0.21929143,-0.17901595,-0.01343189,-0.09
37,16,-0.17097529,-0.21961928,-0.19530776,-0.03087444,-0.09
38,12,-0.1725992,-0.21804249,-0.19614913,-0.02205186,-0.09
39,12,-0.17422311,-0.21646569,-0.19699049,-0.01322928,-0.09
40,18,-0.19112449,-0.2211283,-0.18351319,-0.01224421,-0.09
41,16,-0.17638348,-0.2231315,-0.19818424,-0.02577714,-0.09
42,12,-0.17800739,-0.22155471,-0.19902561,-0.01695456,-0.09
43,18,-0.19490877,-0.22621732,-0.18554831,-0.0159695,-0.09
44,20,-0.18205187,-0.24116139,-0.19347146,-0.01421486,-0.09
45,17,-0.17488856,-0.23122907,-0.21380178,-0.00738049,-0.1
46,16,-0.18655675,-0.22793466,-0.21260042,-0.02239113,-0.1
47,15,-0.1931408,-0.22538792,-0.21389607,-0.01729426,-0.09
48,19,-0.19226768,-0.22786026,-0.2135473,-0.00928346,-0.1
49,14,-0.20003469,-0.23114003,-0.20204458,-0.01332235,-0.1
50,16,-0.19848095,-0.22581746,-0.21024635,-0.02823396,-0.1
